EffortBudget,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,AIR_SYSTEM_DELAY,SECURITY_DELAY,WEATHER_DELAY,TotalDelayReduced,Status,ActiveTypes,RegimeID
1,0.12828736,0.12828736,0.064143682,0.0,0.0,0.32071840199999996,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
2,0.25657473,0.25657473,0.12828736,0.0,0.0,0.6414368199999999,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
3,0.38486209,0.38486209,0.19243105,0.0,0.0,0.96215523,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
4,0.51314945,0.51314945,0.25657473,0.0,0.0,1.28287363,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
5,0.64143682,0.64143682,0.32071841,0.0,0.0,1.60359205,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
6,0.76972418,0.76972418,0.38486209,0.0,0.0,1.92431045,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
7,0.89801155,0.89801155,0.44900577,0.0,0.0,2.24502887,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
8,1.0262989,1.0262989,0.51314945,0.0,0.0,2.5657472500000003,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
9,1.1545863,1.1545863,0.57729314,0.0,0.0,2.8864657400000002,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
10,1.2828736,1.2828736,0.64143682,0.0,0.0,3.20718402,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
11,1.411161,1.411161,0.7055805,0.0,0.0,3.5279025,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
12,1.5394484,1.5394484,0.76972418,0.0,0.0,3.8486209799999997,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
13,1.6677357,1.6677357,0.83386786,0.0,0.0,4.16933926,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
14,1.7960231,1.7960231,0.89801155,0.0,0.0,4.49005775,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
15,1.9243105,1.9243105,0.96215523,0.0,0.0,4.81077623,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
16,2.0525978,2.0525978,1.0262989,0.0,0.0,5.1314945000000005,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
17,2.1808852,2.1808852,1.0904426,0.0,0.0,5.452213,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
18,2.3091725,2.3091725,1.1545863,0.0,0.0,5.7729313,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
19,2.4374599,2.4374599,1.21873,0.0,0.0,6.0936498,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
20,2.5657473,2.5657473,1.2828736,0.0,0.0,6.4143682,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
21,2.6940346,2.6940346,1.3470173,0.0,0.0,6.7350865,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
22,2.822322,2.822322,1.411161,0.0,0.0,7.055805,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
23,2.9506094,2.9506094,1.4753047,0.0,0.0,7.376523499999999,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
24,3.0788967,3.0788967,1.5394484,0.0,0.0,7.6972418000000005,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
25,3.2071841,3.2071841,1.603592,0.0,0.0,8.017960200000001,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
26,3.3354715,3.3354715,1.6677357,0.0,0.0,8.3386787,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
27,3.4637588,3.4637588,1.7318794,0.0,0.0,8.659397,Optimal,"('AIRLINE_DELAY', 'AIR_SYSTEM_DELAY', 'LATE_AIRCRAFT_DELAY')",1
